id,title,genre,year,created_at,updated_at,version,processing_status
1,Tötet nicht mehr,Action,2019,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,b12e3c84,COMPLETED
2,The Tango of the Widower and Its Distorting Mirror,Drama,2020,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,26a62e31,COMPLETED
3,The Other Side of the Wind,Drama,2018,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,7224f1b2,COMPLETED
4,Socialist Realism,Drama,2023,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,ea978d39,COMPLETED
5,Histórias de Combóios em Portugal,Documentary,2022,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,be7f8517,COMPLETED
6,Grizzly II: Revenge,Horror,2020,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,bf550fe1,COMPLETED
7,Loading Ludwig,Unknown,2022,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,46a51c70,COMPLETED
8,The Wandering Soap Opera,Comedy,2017,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,98ccb3fd,COMPLETED
9,A Thin Life,Comedy,2018,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,61d43f8e,COMPLETED
10,Vazir,Action,2015,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,202a1d88,COMPLETED
11,Bigfoot,Horror,2017,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,dcf0449b,COMPLETED
12,Mariette in Ecstasy,Drama,2019,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,a06cdf6c,COMPLETED
13,The Surgeon of the Rusty Knife,Biography,2022,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,01999dd9,COMPLETED
14,Joe Finds Grace,Adventure,2017,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,43becf0a,COMPLETED
15,Housesitter: The Night They Saved Siegfried's Brain,Unknown,2018,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,7752675f,COMPLETED
16,Shyamchi Aai,Drama,2025,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,b0011d0c,COMPLETED
17,Nine Ball,Drama,2023,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,4b28ae38,COMPLETED
18,Sul 45° parallelo,Documentary,2022,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,8ac581a4,COMPLETED
19,Blood Type,Comedy,2018,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,7563482c,COMPLETED
20,Heartland of Darkness,Horror,2022,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,8a0a1a40,COMPLETED
21,Heaven & Hell,Drama,2018,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,687e29b8,COMPLETED
22,Mysteries,Unknown,2019,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,ba178a36,COMPLETED
23,Superboy & Supergirl & 7 Monster,Unknown,2022,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,a6c6704b,COMPLETED
24,The Perfect Shadow,Drama,2024,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,efadd3cb,COMPLETED
25,Black Star: Autobiography of a Close Friend,Documentary,2022,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,4fc72591,COMPLETED
26,In the Land of the Blind,Unknown,2024,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,1c91baa6,COMPLETED
27,Mugen ryûkyû tsuru Henrî,Drama,2021,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,a4b9114b,COMPLETED
28,Radha Krishna,Drama,2020,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,9865fa44,COMPLETED
29,The Curse,Drama,2021,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,2c9a4628,COMPLETED
30,Dongalunnaru Jagratha,Unknown,2017,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,d1a3549c,COMPLETED
31,Les mains au dos,Unknown,2016,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,2e8011ce,COMPLETED
32,Travel Daze,Unknown,2019,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,86df31b1,COMPLETED
33,Short Time Heroes,Sci-Fi,2015,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,35bf2516,COMPLETED
34,Universal Groove,Drama,2024,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,5424286f,COMPLETED
35,Mortal Kombat,Action,2021,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,036cb3f0,COMPLETED
36,"Pit Bull: A Tale of Lust, Murder and Revenge",Unknown,2020,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,c0f9f90a,COMPLETED
37,Snowblind,Crime,2015,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,5da601dc,COMPLETED
38,Mathru Devo Bhava,Drama,2015,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,37606c3b,COMPLETED
39,Les bâtisseurs,Documentary,2016,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,79d789ea,COMPLETED
40,Wazir,Action,2016,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,c1cfbe89,COMPLETED
41,The Killer's Game,Action,2024,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,ee0f2622,COMPLETED
42,Bunyan and Babe,Adventure,2017,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,374aa663,COMPLETED
43,Ashima,Musical,2025,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,a93300c5,COMPLETED
44,Medieval Sex,Unknown,2019,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,719663d6,COMPLETED
45,Chatô - The King of Brazil,Biography,2016,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,89b5c829,COMPLETED
46,The Evil Within,Horror,2017,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,b3139e16,COMPLETED
47,Transeúntes,Comedy,2015,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,ace045e8,COMPLETED
48,Zamaanat: And Justice for All,Drama,2025,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,8e020401,COMPLETED
49,I giganti del cielo,Documentary,2024,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,4ca192b6,COMPLETED
50,Sanatta: The Silence,Unknown,2025,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,a784ca16,COMPLETED
51,Fahrenheit 451,Drama,2018,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,d4815bd0,COMPLETED
52,Aman Ke Farishtey,Action,2016,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,73c7f9ca,COMPLETED
53,Nappily Ever After,Comedy,2018,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,317bf40d,COMPLETED
54,The Promise of Perfume,Documentary,2024,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,03cddd1b,COMPLETED
55,Jurassic World,Action,2015,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,5669c9f4,COMPLETED
56,Den yderste frekvens,Unknown,2017,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,435e8760,COMPLETED
57,American Pastoral,Crime,2016,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,afec9a67,COMPLETED
58,Motherless Brooklyn,Crime,2019,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,c0d3f1f1,COMPLETED
59,1990 Kaliyuga Vishwamitra,Unknown,2015,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,21539846,COMPLETED
60,The Stanford Prison Experiment,Biography,2015,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,dfe3998f,COMPLETED
61,Masters of the Universe,Action,2026,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,fd082986,COMPLETED
62,A Million Little Pieces,Drama,2018,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,f773762a,COMPLETED
63,Alita: Battle Angel,Action,2019,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,f3ab4035,COMPLETED
64,About Face: The Story of the Jewish Refugee Soldiers of World War II,Documentary,2020,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,4013847e,COMPLETED
65,The Flash,Action,2023,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,e80b2f78,COMPLETED
66,Danger Close,Action,2019,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,10465f3c,COMPLETED
67,The History of Love,Drama,2016,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,32e91a56,COMPLETED
68,Surviving in L.A.,Comedy,2020,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,ec082e00,COMPLETED
69,Shazam!,Action,2019,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,6f469fe6,COMPLETED
70,Clawed,Horror,2017,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,5d0955d6,COMPLETED
71,Nefarious,Crime,2024,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,b89345d0,COMPLETED
72,Wonder Woman,Action,2017,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,1ed16f7a,COMPLETED
73,On Moral Grounds,Documentary,2024,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,48f10814,COMPLETED
74,The Only Living Boy in New York,Drama,2017,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,44e0027f,COMPLETED
75,High-Rise,Drama,2015,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,ad39ba50,COMPLETED
76,Jackpot,Unknown,2015,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,a7e67579,COMPLETED
77,"Hot Country, Cold Winter",Drama,2016,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,2ecf42b0,COMPLETED
78,Ten Tricks,Comedy,2022,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,9447b474,COMPLETED
79,"Hail, Caesar!",Comedy,2016,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,5354332e,COMPLETED
80,Anywhere Anytime,Drama,2025,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,b4281139,COMPLETED
81,Ant-Man,Action,2015,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,5970cbba,COMPLETED
82,Silence,Drama,2016,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,3e82817d,COMPLETED
83,Suburbicon,Comedy,2017,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,f72645e5,COMPLETED
84,Tulip Fever,Drama,2017,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,fe04e012,COMPLETED
85,Nina,Biography,2016,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,a6287f1a,COMPLETED
86,CHIPS,Action,2017,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,8d200117,COMPLETED
87,Rings,Drama,2017,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,4a3605f6,COMPLETED
88,The Twits,Adventure,2025,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,7ab49b34,COMPLETED
89,Without Remorse,Action,2021,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,d0d608d4,COMPLETED
90,Moe,Comedy,2023,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,184167c4,COMPLETED
91,Have You Seen Me?,Comedy,2016,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,71450c13,COMPLETED
92,She's Out of His Mind,Comedy,2017,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,20fb3f7a,COMPLETED
93,Cell,Action,2016,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,132326a7,COMPLETED
94,American Surfrider,Unknown,2024,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,f94c8f66,COMPLETED
95,Vendetta,Horror,2022,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,18893f98,COMPLETED
96,The Last Full Measure,Drama,2019,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,bd3403e2,COMPLETED
97,"L'homme au bâton, une légende créole",Comedy,2024,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,28a23f2f,COMPLETED
98,The Man Who Knew Infinity,Biography,2015,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,a0b5f66b,COMPLETED
99,Miles Ahead,Biography,2015,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,f2c67768,COMPLETED
100,Enemigo,Drama,2019,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00,72a5a306,COMPLETED
