id,name,role,created_at,updated_at
33,Orson Welles,Director,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
594,Pierce Brosnan,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
45,George Clooney,"Actor, Director",2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
441,Jennifer Connelly,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
768,John Cusack,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
656,Michael Douglas,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
641,Ralph Fiennes,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
769,Samuel L. Jackson,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
1200,Diane Lane,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
440,Ewan McGregor,"Actor, Director",2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
674,Julianne Moore,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
672,Martin Scorsese,Director,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
47,Charlie Sheen,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
1239,Denzel Washington,Director,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
454,Bruce Willis,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
1195,Ben Affleck,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
452,Alec Baldwin,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
593,Kate Beckinsale,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
596,Jeff Bridges,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
855,Clancy Brown,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
815,Don Cheadle,"Actor, Director",2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
431,Vincent D'Onofrio,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
453,Willem Dafoe,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
673,Matt Damon,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
46,Laura Dern,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
809,Stephen Fry,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
317,John Goodman,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
250,Corey Haim,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
323,Mark Hamill,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
83,Rutger Hauer,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
793,William Hurt,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
511,Jeremy Irons,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
506,Michael Keaton,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
1485,Alice Krige,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
487,Juliette Lewis,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
927,William H. Macy,"Actor, Director",2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
600,Debi Mazar,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
645,Frances McDormand,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
349,Dina Meyer,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
665,Liam Neeson,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
932,Paul Reubens,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
486,Giovanni Ribisi,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
586,David Thewlis,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
628,Lea Thompson,Actor,2025-11-21T02:06:47.584989+00:00,2025-11-21T02:06:47.584989+00:00
